aluno_id,horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
1,15.48,58.12,73.86,5.66,7.68
2,8.78,95.11,31.72,5.51,7.11
3,17.17,86.88,89.0,8.29,9.72
4,13.95,46.64,59.38,7.11,6.67
5,1.88,99.82,12.6,0.27,2.93
6,19.51,92.75,14.37,0.49,6.25
7,15.22,57.03,69.31,6.02,7.01
8,15.72,90.21,17.29,4.86,7.71
9,2.56,46.39,50.73,2.6,4.36
10,9.01,99.95,99.18,4.19,6.8
11,7.42,79.94,0.4,7.58,6.41
12,18.54,79.01,1.66,8.27,8.46
13,12.88,45.43,99.31,5.61,7.9
14,16.46,93.82,58.46,3.85,8.28
15,8.87,41.74,12.69,2.71,2.89
16,4.54,54.45,89.73,5.22,5.06
17,11.09,48.58,88.04,3.15,6.34
18,1.28,86.61,53.62,5.64,6.7
19,16.55,51.89,62.18,6.77,6.38
20,12.63,94.64,27.32,0.66,6.17
21,15.16,79.38,5.05,0.01,6.17
22,7.09,42.17,59.46,2.12,4.35
23,19.41,40.33,29.48,8.95,8.86
24,17.86,43.1,66.36,6.46,7.54
25,15.57,76.36,83.62,1.72,7.27
26,3.89,88.09,1.82,8.9,5.2
27,9.33,54.31,59.57,4.7,4.27
28,0.88,90.96,23.13,4.76,5.77
29,3.09,43.43,87.39,9.36,6.09
30,13.66,88.06,25.37,0.59,5.45
31,14.9,95.67,61.08,2.15,6.42
32,19.35,86.33,55.35,5.86,8.1
33,6.52,81.89,39.62,1.95,4.97
34,7.41,90.28,67.76,6.8,7.19
35,9.39,42.41,72.58,2.14,5.47
36,3.79,52.11,56.69,0.99,4.09
37,2.6,47.5,75.84,2.07,4.39
38,9.51,70.27,98.34,4.23,7.46
39,4.54,84.71,41.93,1.76,6.08
40,13.4,77.8,51.46,1.35,5.39
41,8.74,91.07,1.25,8.6,7.3
42,16.65,49.31,79.6,3.2,8.1
43,14.01,84.08,52.02,3.61,8.36
44,6.25,51.58,40.8,0.55,2.54
45,16.65,56.25,9.41,3.57,5.87
46,16.1,82.59,88.97,2.65,9.17
47,7.75,98.81,39.5,6.1,7.69
48,5.77,76.69,68.26,2.05,5.58
49,13.65,43.27,14.94,8.88,6.99
50,2.8,76.98,96.15,9.3,7.68
51,4.0,42.54,17.84,1.0,2.93
52,0.15,93.05,19.95,1.07,3.39
53,15.74,82.57,85.9,1.15,7.4
54,13.3,50.39,91.26,6.2,7.96
55,14.1,45.5,21.21,1.22,4.21
56,15.61,51.01,46.98,8.52,8.69
57,9.18,98.8,73.35,7.54,10.0
58,11.37,67.51,87.84,8.2,7.28
59,2.8,87.04,37.91,5.26,5.97
60,2.29,78.18,51.7,9.97,6.67
61,13.37,74.34,74.17,0.44,6.74
62,9.42,48.71,73.11,4.01,6.06
63,11.3,96.76,78.3,3.24,8.25
64,15.3,58.08,56.99,9.49,9.9
65,12.69,74.68,10.46,5.77,6.91
66,11.07,81.99,90.4,8.06,9.99
67,11.18,78.95,86.56,1.7,4.83
68,6.08,96.44,79.81,9.79,10.0
69,0.62,48.91,9.99,4.99,3.82
70,8.73,70.5,20.44,4.94,6.69
71,4.29,64.24,74.36,9.71,6.61
72,8.17,68.45,2.31,3.81,4.24
73,17.07,47.15,97.92,3.98,7.95
74,4.68,48.05,37.71,5.85,5.07
75,1.17,56.68,71.93,1.28,4.02
76,5.63,58.28,88.76,3.21,6.53
77,5.87,65.67,39.46,1.93,3.08
78,13.24,76.66,31.91,1.03,6.46
79,11.14,78.08,60.87,8.66,8.6
80,15.68,64.71,58.1,5.89,7.82
81,13.29,64.53,40.91,3.59,5.22
82,8.13,53.06,60.18,4.09,6.09
83,16.28,75.3,93.54,4.32,6.64
84,3.34,59.02,46.76,6.33,6.04
85,0.45,42.16,19.67,9.27,3.79
86,1.8,65.1,37.72,9.33,6.34
87,14.45,68.45,39.41,3.91,6.72
88,9.24,53.54,13.11,3.29,5.62
89,3.23,74.35,16.29,4.51,4.57
90,10.02,73.95,68.46,5.68,6.82
91,3.05,82.12,33.95,4.62,4.9
92,13.93,78.88,95.49,6.59,10.0
93,8.92,79.15,24.36,5.54,6.84
94,7.62,58.97,9.89,3.21,4.15
95,6.03,87.25,75.35,3.46,6.23
96,12.61,72.95,88.1,3.79,6.29
97,7.24,65.89,27.81,0.95,4.48
